GalaxyName,Class,NPoints,MedianRequiredS_tau,IQRRequiredS_tau,Q25RequiredS_tau,Q75RequiredS_tau,FractionOutside_0_1,FractionOutside_0_2,FixedS1_RMSLog,galaxy_constant_RMSLog,galaxy_constant_Coefficients,linear_radius_RMSLog,linear_radius_Coefficients,quadratic_radius_RMSLog,quadratic_radius_Coefficients,linear_acceleration_RMSLog,linear_acceleration_Coefficients,quadratic_acceleration_RMSLog,quadratic_acceleration_Coefficients,radius_plus_acceleration_RMSLog,radius_plus_acceleration_Coefficients,BestFamily,BestFamilyRMSLog,BestImprovementVsFixedS1,S_tauVerdict,Guardrail
NGC3109,C,25,1.312652735,0.401790303,1.067398865,1.469189168,0.840000000,0.000000000,0.172498186,0.267465460,1.237941023,0.227592415,0.879787178;0.717733439,0.223511043,0.811050394;1.159953148;-0.440977443,0.254836636,1.937163592;-0.413359435,0.253429688,-2.671686479;4.610063010;-1.335684788,0.228091025,0.835788204;0.725229757;0.023799477,fixed_s1,0.172498186,0.000000000,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
NGC3198,A,43,0.984559509,0.075990286,0.947872306,1.023862593,0.441860465,0.069767442,0.184208819,0.184807072,0.970508933,0.191468968,0.909550864;0.101920995,0.192910101,0.793083191;0.753982137;-0.611506190,0.194877259,0.843204413;0.109806827,0.189485211,0.369822623;1.421594918;-0.686516144,0.192990774,0.641429002;-1.030184875;0.815305839,fixed_s1,0.184208819,0.000000000,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
NGC3741,C,21,1.381071299,0.371079874,1.078077362,1.449157236,0.857142857,0.000000000,0.113022461,0.304564283,1.329227629,0.298256481,0.995566796;0.644175576,0.298846119,0.710745466;2.111075235;-1.351992979,0.300523098,-0.288231538;0.880445066,0.301322084,-0.825692458;1.540149710;-0.196461051,0.300939397,-0.374480627;-0.060074435;0.944331655,fixed_s1,0.113022461,0.000000000,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
NGC3917,A,17,1.059575505,0.123057433,0.983641431,1.106698864,0.764705882,0.058823529,0.192769964,0.193309032,0.997229717,0.194030438,0.838313289;0.268944000,0.175532908,0.458743818;2.293400794;-1.850606313,0.192878674,1.030392122;-0.041848731,0.189991753,4.225828256;-8.031267286;4.838876601,0.179989158,1.658511475;0.809024880;-1.437754015,quadratic_radius,0.175532908,0.017237056,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
NGC3972,A,10,1.204108224,0.176489548,1.074039905,1.250529453,0.900000000,0.000000000,0.219815456,0.192108240,1.123339331,0.192792323,0.966306069;0.258010693,0.189151557,0.680625369;1.586603391;-1.149524338,0.192812911,0.514884961;0.995002988,0.185406710,-4.805049576;18.070952034;-13.325260081,0.192553755,0.197907401;-0.328106500;1.839916744,quadratic_acceleration,0.185406710,0.034408747,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
NGC4183,A,23,0.930379108,0.232708796,0.881854152,1.114562948,0.391304348,0.000000000,0.144315060,0.145730947,0.969592380,0.116218603,1.141953514;-0.275159616,0.107611104,1.462595097;-1.803241169;1.357004460,0.122984532,1.246104158;-0.241795562,0.112302857,3.311603260;-4.159996582;1.758901614,0.113271388,-0.035074820;-2.148853676;2.055584088,quadratic_radius,0.107611104,0.036703956,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
NGC4559,A,32,0.705353110,0.205929582,0.581449612,0.787379195,0.000000000,0.000000000,0.069790790,0.081877961,0.732710763,0.092102266,0.591854854;0.208413368,0.086942482,0.292810530;1.433220682;-1.025899668,0.093353652,0.494369779;0.251680428,0.088024415,0.122452628;1.346182891;-0.692317048,0.087400925,0.231654205;-1.202216103;1.387090689,fixed_s1,0.069790790,0.000000000,constant_s_tau_plausible,paper3_seed_candidate_search_not_tau_core_validation
NGC5055,C,28,0.648740591,0.638929078,0.128252659,0.767181737,0.214285714,0.214285714,0.086679137,0.064465777,0.771922749,0.081581742,0.532982747;0.328146871,0.078569444,0.116451515;1.811990311;-1.150182657,0.082984937,0.474445978;0.269293470,0.073981411,0.349014029;0.771727833;-0.323255588,0.076613601,0.499554176;-0.816567515;0.784815814,galaxy_constant,0.064465777,0.022213360,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
NGC5585,A,24,0.873246252,0.658646085,0.374776394,1.033422479,0.333333333,0.000000000,0.088539768,0.096231816,0.901837507,0.116099005,0.503301317;0.705235371,0.101336131,0.244328947;2.319138974;-1.555996263,0.113489536,0.070606252;0.803514768,0.104160132,-0.768066993;2.800337425;-1.060291887,0.106622922,-0.625176405;-1.309975372;2.191694811,fixed_s1,0.088539768,0.000000000,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
NGC6503,A,31,1.108212563,0.076726228,1.054082460,1.130808688,0.903225806,0.000000000,0.121001897,0.129546476,1.134005545,0.143766730,0.991569399;0.203056501,0.142023720,1.093098018;-0.164494677;0.288680836,0.143711818,0.947387904;0.139077681,0.143476328,1.064080664;-0.100792777;0.108219319,0.143416965,1.011146770;0.270045012;-0.049609503,fixed_s1,0.121001897,0.000000000,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
NGC7331,A,36,0.648834329,0.501176027,0.346538531,0.847714558,0.250000000,0.222222222,0.095477364,0.121535506,0.842400496,0.121704248,0.210592009;0.826882944,0.119655277,-0.373505281;2.727078831;-1.396570911,0.120778206,0.441523030;0.676104234,0.118291247,0.411514642;1.149070942;-0.599758636,0.118354095,1.093466996;-2.018171967;2.177329012,fixed_s1,0.095477364,0.000000000,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
UGC00128,A,22,1.174766579,0.213336823,1.088559425,1.301896248,0.954545455,0.000000000,0.168980956,0.243438130,1.190752700,0.229266823,1.325141228;-0.221171942,0.225255802,1.508522654;-1.124123189;0.811802189,0.234852942,1.447508460;-0.153656956,0.234029115,2.012752011;-0.866395423;0.218578343,0.223783461,-1.506496745;-2.564112392;2.546582217,fixed_s1,0.168980956,0.000000000,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
UGC00191,A,9,1.093119401,0.356516301,0.938809577,1.295325878,0.666666667,0.000000000,0.184672052,0.156867252,1.143310968,0.119378738,1.306286722;-0.387387615,0.118170247,1.231892926;0.171518365;-0.534841854,0.118837642,2.035354998;-0.834610211,0.118947220,0.998511835;1.060350290;-0.845538244,0.118717409,1.723135327;-0.169819951;-0.475648505,quadratic_radius,0.118170247,0.066501804,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
UGC00731,C,12,1.388491270,0.875864123,0.919144829,1.795008952,0.666666667,0.250000000,0.186277735,0.340085575,1.600496229,0.251590742,2.568837918;-2.031062793,0.239312307,2.879981425;-3.789558547;1.689528791,0.247046943,-3.102137473;2.819188370,0.248241722,-4.597035287;4.605947851;-0.525446559,0.241621923,-0.662289512;-0.934125746;1.623509667,fixed_s1,0.186277735,0.000000000,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
UGC02455,C,8,-0.785677511,0.739244122,-1.089649876,-0.350405754,0.875000000,0.875000000,0.618945575,0.407286512,-0.495696025,0.318493627,-1.649773466;1.727914696,0.312733826,-1.148180265;-0.525459420;1.906339676,0.306441745,-2.180176758;3.363516487,0.306593908,-2.000602001;2.521890595;0.880478541,0.306371945,-2.208536925;-0.140697096;3.607785095,radius_plus_acceleration,0.306371945,0.312573630,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
UGC03580,C,47,0.136507303,2.148013426,-1.306992955,0.841020471,0.595744681,0.489361702,0.193065288,0.192738914,0.864942945,0.205458076,0.227241757;1.127330550,0.195196176,-0.446213747;4.251753062;-2.781029014,0.196524725,-0.100630607;0.880277941,0.178815750,-0.387148874;1.919741128;-0.616372881,0.180371504,-0.257710752;-1.694116817;1.897144772,quadratic_acceleration,0.178815750,0.014249538,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
UGC04305,C,22,0.088900764,0.346441911,0.017026686,0.363468596,0.227272727,0.227272727,0.611501250,0.215375458,0.158546824,0.214694008,0.278665838;-0.235685461,0.180737081,0.038449755;1.256732354;-1.467536833,0.167001992,1.072017064;-0.758351376,0.164762770,1.693023625;-1.703701562;0.349937196,0.125944517,1.603021264;-0.424362395;-1.019631612,radius_plus_acceleration,0.125944517,0.485556733,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
UGC04325,C,8,1.602769907,0.602717033,1.355315777,1.958032811,1.000000000,0.250000000,0.364081442,0.168113013,1.669758751,0.128408685,2.282408486;-1.089304653,0.125672656,2.195947937;-0.653848085;-0.387910167,0.165393005,2.020703004;-0.370266278,0.165447782,0.095547541;3.716650304;-2.153955738,0.125130122,2.668131845;-1.090219352;-0.406417453,radius_plus_acceleration,0.125130122,0.238951320,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
UGC04499,C,9,0.866874248,0.064379476,0.827089562,0.891469038,0.000000000,0.000000000,0.112213062,0.088718578,0.831557559,0.093930002,0.729629727;0.166944780,0.070312352,0.343885420;1.922878487;-1.517961815,0.093617191,0.181544037;0.574464899,0.048946266,-11.099392674;21.228830633;-9.341974461,0.072623953,-3.550685815;-1.819828216;4.854866416,quadratic_acceleration,0.048946266,0.063266797,constant_s_tau_plausible,paper3_seed_candidate_search_not_tau_core_validation
UGC05253,C,73,0.909625353,0.338260958,0.730436189,1.068697147,0.356164384,0.054794521,0.134155421,0.131861178,1.041810405,0.128383791,1.178842108;-0.203027553,0.128202415,1.085263267;0.191662481;-0.330519674,0.129629530,1.122987462;-0.092285518,0.127304378,1.126384460;0.147241814;-0.225026468,0.127651015,1.231621824;-0.689790083;0.313491641,quadratic_acceleration,0.127304378,0.006851044,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
UGC05716,A,12,1.205239899,0.228366595,1.053684485,1.282051080,0.833333333,0.000000000,0.128039381,0.180815584,1.159383490,0.146077757,1.429074429;-0.454942024,0.144940097,1.491325777;-0.745733308;0.255657711,0.149649733,2.440930746;-0.850605062,0.149509897,2.880353280;-1.458143560;0.207952401,0.146887516,0.949402175;-0.633451724;0.388611170,fixed_s1,0.128039381,0.000000000,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
UGC05764,A,10,1.588825997,0.572293622,1.330518945,1.902812567,1.000000000,0.100000000,0.233103922,0.204065456,1.676703753,0.140552389,2.394549469;-1.376287536,0.144023536,2.491096441;-1.905928238;0.491960734,0.206028000,-1.005720081;1.854163507,0.196430802,11.156754435;-14.085910082;5.146918329,0.145633458,1.634695439;-1.237426582;0.475167871,linear_radius,0.140552389,0.092551533,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
UGC05829,C,11,0.915455618,0.455355702,0.802275306,1.257631008,0.454545455,0.000000000,0.138914796,0.191085975,1.095712668,0.193387951,1.461899290;-0.798848354,0.193340813,1.463924784;-0.810434807;0.011258152,0.191039513,-0.273775149;0.860828533,0.192716028,-4.285375593;5.970588115;-1.584385207,0.192640040,0.961742173;-0.579453862;0.251171938,fixed_s1,0.138914796,0.000000000,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
UGC05918,C,8,1.098758743,0.265347682,1.026294693,1.291642375,0.750000000,0.000000000,0.142737507,0.242910850,1.185348559,0.226540774,1.506163869;-0.587943657,0.225602266,1.380264183;0.030397265;-0.553982109,0.231385335,-2.883235379;2.438340931,0.227270949,51.589714021;-62.776015707;19.484100435,0.225977022,-1.003883219;-0.339622608;1.423089778,fixed_s1,0.142737507,0.000000000,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
UGC06446,C,17,1.319528605,0.391317073,1.135813962,1.527131035,0.941176471,0.000000000,0.195877004,0.160032787,1.330995003,0.077007569,1.785418161;-0.802318182,0.077964157,1.740079490;-0.581546036;-0.199763411,0.102874417,3.215219585;-1.474692261,0.101361030,-0.794888440;5.124299480;-2.684100640,0.080497797,0.572144598;-1.255912162;1.150642246,linear_radius,0.077007569,0.118869435,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
UGC06818,C,8,0.762041370,0.760828950,0.255925735,1.016754686,0.250000000,0.000000000,0.261144161,0.205964890,0.756273124,0.108017234,-0.056337460;1.277482751,0.108032801,-0.283932596;2.278316548;-0.848397518,0.089933176,-1.976484276;2.289522445,0.085307610,-5.492862750;8.490639738;-2.678699416,0.070305206,-5.556905449;-2.520137147;6.632283327,radius_plus_acceleration,0.070305206,0.190838955,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
UGC06917,C,11,1.117176128,0.158200193,1.067489898,1.225690091,0.909090909,0.000000000,0.149682240,0.107966418,1.127714978,0.105062830,1.167502297;-0.061425454,0.104170952,0.802127736;1.376333506;-1.173219974,0.109033211,1.082020924;0.047654969,0.101870806,-2.565818199;8.443527645;-4.702886978,0.103097841,-0.408319512;-1.298980659;2.479452622,quadratic_acceleration,0.101870806,0.047811434,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
UGC06973,C,9,0.331955425,2.095781123,-1.252483915,0.843297208,0.555555556,0.444444444,0.200056588,0.209971917,0.683210403,0.197971310,-2.857925375;4.120184081,0.195492151,-9.682089862;23.379104067;-12.785127940,0.196270337,0.402955891;3.709051575,0.195010938,0.749113757;2.260215599;-6.085270430,0.195031219,13.011613375;-15.793579752;16.484416227,quadratic_acceleration,0.195010938,0.005045649,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
UGC07323,C,10,0.729309762,0.151144800,0.648679824,0.799824624,0.000000000,0.000000000,0.063688224,0.100955021,0.712595647,0.089598528,0.534885343;0.324764692,0.089493630,0.522848302;0.386162760;-0.056071810,0.101174670,0.443427804;0.308222455,0.097298904,-48.283341360;109.523780083;-61.090508862,0.089399223,-0.279879632;0.343811769;0.921047653,fixed_s1,0.063688224,0.000000000,constant_s_tau_plausible,paper3_seed_candidate_search_not_tau_core_validation
UGC07399,C,10,2.015043866,0.163483880,1.962518229,2.126002109,1.000000000,0.600000000,0.445683659,0.139281585,2.027977095,0.122557054,2.177350473;-0.231311655,0.125052229,2.029778061;0.398308857;-0.530643773,0.125244658,2.330440334;-0.273982621,0.125259590,0.259956680;4.001633665;-2.114321581,0.125543830,1.437914649;-0.987775746;1.112310055,linear_radius,0.122557054,0.323126604,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
UGC07577,C,9,0.122044609,0.129231898,0.100647898,0.229879796,0.000000000,0.000000000,0.863525617,0.225766634,0.258442258,0.245636739,0.431366243;-0.359412606,0.190788155,0.888419205;-2.976030437;2.471286239,0.204547124,-0.797495570;0.580807680,0.192812969,1.606512704;-1.945176435;0.638288973,0.170693741,-1.672604436;0.500075896;0.929812041,radius_plus_acceleration,0.170693741,0.692831876,constant_s_tau_plausible,paper3_seed_candidate_search_not_tau_core_validation
UGC07603,C,12,1.379891804,0.174549328,1.269315562,1.443864889,0.833333333,0.000000000,0.166510956,0.085848393,1.340985573,0.120149596,0.895874447;0.683367779,0.105660957,0.456982659;2.654022740;-1.693498213,0.121983550,0.444732184;0.749948516,0.109967229,-2.979909437;7.041170657;-2.758779188,0.112209177,1.948282371;2.096848046;-1.650991137,galaxy_constant,0.085848393,0.080662563,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
UGC08490,C,30,1.395463975,0.139616758,1.336871666,1.476488424,1.000000000,0.000000000,0.214591104,0.191897151,1.379117542,0.169371693,1.550867619;-0.259638179,0.165641461,1.657251470;-0.703775745;0.375562669,0.167370612,1.685581480;-0.220201309,0.165818055,1.913597904;-0.627946363;0.167502166,0.167231686,1.704066589;0.039386510;-0.252203735,quadratic_radius,0.165641461,0.048949643,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
UGC08837,C,8,0.385018049,0.295713672,0.309677898,0.605391570,0.000000000,0.000000000,0.522711347,0.203802635,0.376459801,0.067731316,0.042104298;0.652034683,0.050833384,-0.074775419;1.257262018;-0.552580389,0.094752954,1.943151840;-1.143432587,0.082247201,-7.681825020;12.800469398;-4.990607060,0.066212890,0.199660091;0.608655187;-0.098755441,quadratic_radius,0.050833384,0.471877963,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
UGC12632,C,15,1.136672741,0.332268460,0.917543115,1.249811575,0.666666667,0.000000000,0.113434940,0.149098916,1.097497127,0.117855846,1.377578682;-0.517476573,0.112887602,1.169869506;0.566063971;-1.009936024,0.143545125,3.170616165;-1.446391777,0.137493636,104.474432172;-144.053261579;50.151332919,0.118054437,-0.148949306;-0.592894470;1.093520705,quadratic_radius,0.112887602,0.000547337,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
