GalaxyName,Class,NPoints,ProjectionRMS_TPG,MONDSimpleRMS,RARLikeRMS,TPGMinusBestLowAccelRMS,ProjectionMinusMOND_Mean,ProjectionMinusRAR_Mean,TauResidualCandidateScore,DistanceMpc,EnvMaxTheta,EnvMainDisturber,EnvironmentCuePresent,W_tau_eff_abs_v01,ReconstructionRiskChannel_v01,MeanErrVobsKms,InclinationDeg,InclinationErrorDeg,FirstRadiusBin_ge_0p15,FirstRadiusFraction_ge_0p15,OuterMinusInnerProjectionResidual,CandidateClass,CandidateUse,Guardrail
CamB,A,9,0.963585384,1.044682855,1.043973988,-0.080388604,-0.084310851,-0.083566855,1.312988884,3.36,1.720000000,IC0342,true,0.914034998,1.253756927,1.500000,65.0,5.0,inner_R<0.33Rmax,0.089386,,environment_tau_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
DDO154,A,12,0.138812041,0.171818953,0.171311799,-0.032499758,-0.028883550,-0.028352581,0.330872966,4.04,1.270000000,NGC4826,true,0.015609254,0.809435757,0.625000,64.0,3.0,inner_R<0.33Rmax,0.082770,,background_control,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
ESO079-G014,A,15,0.116776650,0.113658118,0.113603125,0.003173525,0.007805837,0.006502768,0.122340502,28.70,,,false,0.023903266,1.432718137,5.718667,79.0,5.0,inner_R<0.33Rmax,0.106779,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
ESO116-G012,A,15,0.118483994,0.095011893,0.096167830,0.023472101,0.017813996,0.017183993,0.150696128,13.00,,,false,0.087400328,0.964764722,3.134667,74.0,3.0,middle_0.33-0.67Rmax,0.418864,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
IC2574,C,34,0.221285260,0.329941367,0.329534404,-0.108249144,-0.117707864,-0.117248011,0.521915455,3.91,1.880000000,MESSIER081,true,0.186301949,1.233063442,3.241176,75.0,7.0,inner_R<0.33Rmax,0.083089,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC0055,C,21,0.204516651,0.240688313,0.239130736,-0.034614085,-0.041267118,-0.039719864,0.262384836,2.11,0.260000000,NGC0300,true,0.188681855,0.938684941,3.861905,77.0,3.0,inner_R<0.33Rmax,0.091111,,background_control,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC1705,C,14,0.354417125,0.285791976,0.288307540,0.068625149,0.068108256,0.065834266,0.248053470,5.73,-1.400000000,NGC0253,true,0.350111963,2.014995002,5.749286,80.0,10.0,inner_R<0.33Rmax,0.036667,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC2366,C,26,0.250878781,0.309827403,0.308970559,-0.058091778,-0.063025700,-0.062007664,0.555512988,3.27,1.890000000,NGC2403,true,0.211342066,0.995810936,2.607308,68.0,5.0,inner_R<0.33Rmax,0.019802,,background_control,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC2403,A,73,0.084927422,0.055828097,0.058345320,0.029099325,0.022622809,0.020351712,0.399347785,3.16,1.860000000,DDO044,true,0.063210375,0.632039895,2.420822,63.0,3.0,outer_R>=0.67Rmax,0.857211,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC2976,C,27,0.239111203,0.248291725,0.245486896,-0.006375693,-0.012521490,-0.007259438,0.704066835,3.58,3.000000000,MESSIER081,true,0.149556322,1.629629630,3.505185,61.0,10.0,inner_R<0.33Rmax,0.048458,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC3109,C,25,0.175872342,0.137333913,0.137404074,0.038538429,0.040152381,0.040002498,0.257252424,1.33,0.200000000,Antlia,true,0.128416526,1.017263079,2.752000,70.0,5.0,middle_0.33-0.67Rmax,0.440310,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC3198,A,43,0.156224718,0.169240927,0.165313449,-0.009088731,-0.026480191,-0.023471914,0.161290628,13.80,,,true,0.050659103,0.929189847,5.043023,73.0,3.0,inner_R<0.33Rmax,0.007260,,background_control,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC3741,C,21,0.204417844,0.101624658,0.101249417,0.103168427,0.104831514,0.105010443,0.303358541,3.21,-0.120000000,MESSIER081,true,0.137722705,0.901444404,2.301905,70.0,4.0,inner_R<0.33Rmax,0.032857,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC3917,A,17,0.143599282,0.145961028,0.145500872,-0.001901590,0.002311836,0.001936709,0.144488745,18.00,,,false,0.008894630,0.916866944,4.211765,79.0,2.0,inner_R<0.33Rmax,0.058546,,background_control,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC3972,A,10,0.101666153,0.097458251,0.097970668,0.004207902,0.009097690,0.006934564,0.109209476,18.00,,,false,0.033354209,1.087548136,5.010000,77.0,1.0,inner_R<0.33Rmax,0.099771,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC4183,A,23,0.067793794,0.093933888,0.093699945,-0.025906151,-0.027770103,-0.027650465,0.068286192,18.00,,,false,0.004923983,1.006475594,5.960870,82.0,2.0,no_projection_residual_ge_0p15,,,tpg_success_control,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC4559,A,32,0.133934337,0.159170541,0.155745992,-0.021811655,-0.025914591,-0.022485423,0.338944146,9.00,1.280000000,NGC4631,true,0.130098087,0.785670626,5.450313,67.0,1.0,inner_R<0.33Rmax,0.031950,,background_control,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC5055,C,28,0.117536453,0.147367961,0.138729954,-0.021193501,-0.029487311,-0.020307610,0.144185952,9.90,0.100000000,NGC5194,true,0.116494987,1.164391126,3.356071,55.0,6.0,inner_R<0.33Rmax,0.013189,,tpg_success_control,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC5585,A,24,0.173858350,0.182562539,0.179688750,-0.005830400,-0.005928203,-0.003397086,0.109030688,7.06,-0.500000000,MESSIER101,true,0.101723376,0.641988354,2.223333,51.0,2.0,inner_R<0.33Rmax,0.008212,,background_control,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC6503,A,31,0.072498887,0.043993628,0.043219602,0.029279285,0.037848504,0.038365771,-0.013442172,6.26,-0.800000000,NGC6946,true,0.047796563,0.607451137,2.354839,74.0,2.0,inner_R<0.33Rmax,0.032340,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
NGC7331,A,36,0.098042642,0.112036328,0.100097717,-0.002055075,-0.015896779,-0.005691336,0.106676235,14.70,,,false,0.086335928,0.849805109,5.138889,75.0,2.0,inner_R<0.33Rmax,0.073534,,tpg_success_control,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC00128,A,22,0.138644763,0.110243251,0.110341679,0.028401512,0.019565499,0.019544821,0.177404258,64.50,,,false,0.103579831,1.589008214,2.635455,57.0,10.0,inner_R<0.33Rmax,0.069767,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC00191,A,9,0.124355499,0.115946986,0.116702790,0.008408513,0.003106815,0.002629363,0.139800650,17.10,,,false,0.070366381,1.329517705,2.296667,45.0,5.0,inner_R<0.33Rmax,0.162325,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC00731,C,12,0.339703437,0.246646797,0.246660902,0.093056640,0.054002736,0.054088250,0.453761380,12.50,,,false,0.210013035,1.015955199,2.796667,57.0,3.0,inner_R<0.33Rmax,0.083410,,clean_tau_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC02455,C,8,0.793075490,0.805939674,0.800198251,-0.007122761,-0.013398702,-0.007851631,0.869693786,6.92,,,false,0.766182963,1.526709402,3.640000,51.0,5.0,inner_R<0.33Rmax,0.124069,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC03580,C,47,0.280295930,0.294397388,0.284289641,-0.003993711,-0.014596686,-0.005793407,0.301062190,20.70,,,false,0.207662602,1.043997510,5.185957,63.0,4.0,inner_R<0.33Rmax,0.004065,,background_control,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC04305,C,22,0.595364038,0.647098431,0.646001762,-0.050637724,-0.050269848,-0.049003442,0.650344017,3.45,,,false,0.549799788,1.676929908,3.560000,40.0,10.0,inner_R<0.33Rmax,0.045290,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC04325,C,8,0.284250584,0.259597678,0.261395008,0.024652906,0.027808664,0.025780357,0.334525520,9.60,,,false,0.256220303,1.248617568,3.052500,41.0,3.0,inner_R<0.33Rmax,0.125224,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC04499,C,9,0.137445134,0.168032936,0.166726695,-0.029281561,-0.043220102,-0.041775656,0.147059806,12.50,,,false,0.096146716,1.169319996,2.948889,50.0,3.0,inner_R<0.33Rmax,0.111247,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC05253,C,73,0.080485995,0.082571025,0.082053269,-0.001567274,-0.009081421,0.000863511,0.081790133,22.90,,,false,0.013041384,1.078883241,5.951233,37.0,4.0,inner_R<0.33Rmax,0.002439,,tpg_success_control,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC05716,A,12,0.113234582,0.087992570,0.088175898,0.025242012,0.017561944,0.017406657,0.147546883,21.30,,,false,0.090702888,1.647283272,1.256667,54.0,10.0,inner_R<0.33Rmax,0.083266,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC05764,A,10,0.329468364,0.253180083,0.253719025,0.076288281,0.070480930,0.070012394,0.434031084,7.47,,,false,0.282744392,1.734927679,1.302000,60.0,10.0,inner_R<0.33Rmax,0.099447,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC05829,C,11,0.138511849,0.134425123,0.133780413,0.004731436,0.005229855,0.005696151,0.144378403,8.64,,,false,0.011351180,2.046848451,5.060000,34.0,10.0,inner_R<0.33Rmax,0.182344,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC05918,C,8,0.142410680,0.105430543,0.105249912,0.037160768,0.011017128,0.011266628,0.188606787,7.66,,,false,0.090353387,1.554287593,3.930000,46.0,5.0,inner_R<0.33Rmax,0.248879,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC06446,C,17,0.194477890,0.156385169,0.157244578,0.038092721,0.038446500,0.037845796,0.248779327,12.00,,,false,0.162087165,1.102937033,5.000000,51.0,3.0,inner_R<0.33Rmax,0.113503,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
