GalaxyName,Class,NPoints,ProjectionRMS_TPG,MONDSimpleRMS,RARLikeRMS,TPGMinusBestLowAccelRMS,ProjectionMinusMOND_Mean,ProjectionMinusRAR_Mean,TauResidualCandidateScore,DistanceMpc,EnvMaxTheta,EnvMainDisturber,EnvironmentCuePresent,W_tau_eff_abs_v01,ReconstructionRiskChannel_v01,MeanErrVobsKms,InclinationDeg,InclinationErrorDeg,FirstRadiusBin_ge_0p15,FirstRadiusFraction_ge_0p15,OuterMinusInnerProjectionResidual,CandidateClass,CandidateUse,Guardrail
UGC06818,C,8,0.308337913,0.330447432,0.329138723,-0.020800810,-0.020351341,-0.018995354,0.328072366,18.00,,,false,0.197344531,1.448678325,5.156250,75.0,3.0,inner_R<0.33Rmax,0.124642,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC06917,C,11,0.071490152,0.053749002,0.054578575,0.017741150,0.022320734,0.021184830,0.094480642,18.00,,,false,0.052493396,1.072717880,4.163636,56.0,2.0,no_projection_residual_ge_0p15,,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC06973,C,9,0.212731540,0.224073118,0.209708449,0.003023091,-0.013848555,-0.000262613,0.231309018,18.00,,,false,0.155543868,1.429886353,5.688889,71.0,3.0,inner_R<0.33Rmax,0.221656,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC07323,C,10,0.146477589,0.168065431,0.165902515,-0.019424926,-0.023164973,-0.020869341,0.159991166,8.00,,,false,0.135135774,1.201359538,3.870000,47.0,3.0,inner_R<0.33Rmax,0.099656,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC07399,C,10,0.397297780,0.358341693,0.360100316,0.038956087,0.038876477,0.037068731,0.475676902,8.43,,,false,0.394230355,1.154666808,3.379000,55.0,3.0,inner_R<0.33Rmax,0.099511,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC07577,C,9,0.654467132,0.783044594,0.782608443,-0.128141311,-0.139754526,-0.139322934,0.717921410,2.59,,,false,0.634542779,1.190347046,3.170000,63.0,3.0,inner_R<0.33Rmax,0.112426,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC07603,C,12,0.180772538,0.139546990,0.139863072,0.041225548,0.040391086,0.039723137,0.233853159,4.70,,,false,0.118550725,1.024830938,2.890000,78.0,3.0,inner_R<0.33Rmax,0.082725,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC08490,C,30,0.186480775,0.131624314,0.133509091,0.054856461,0.064768971,0.063185284,0.259815854,4.65,,,false,0.184786180,0.850908707,3.690000,50.0,3.0,inner_R<0.33Rmax,0.033497,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC08837,C,8,0.439660106,0.512885689,0.512159307,-0.072499201,-0.071915611,-0.071030687,0.479373316,7.21,,,false,0.397132098,1.421983599,2.538750,80.0,5.0,inner_R<0.33Rmax,0.123810,,disturbance_systematics_candidate,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
UGC12632,C,15,0.105256872,0.101584490,0.101364240,0.003892632,0.013185206,0.013216441,0.114007121,9.77,,,false,0.048576173,1.005276134,3.560667,46.0,3.0,inner_R<0.33Rmax,0.267355,,tpg_divergence_followup,triage_not_detection,paper3_seed_candidate_search_not_tau_core_validation
