GalaxyName,Class,Family,NPoints,RMSLog,ImprovementVsFixedS1,Coefficients,FitUse,Guardrail
NGC0055,C,radius_plus_acceleration,21,0.049541869,0.117187002,2.853847691;2.102224564;-3.108227285,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC1705,C,galaxy_constant,14,0.256175947,0.094009510,1.826626710,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC1705,C,linear_radius,14,0.249222064,0.100963393,1.917043894;-0.128557079,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC1705,C,quadratic_radius,14,0.239318959,0.110866498,2.266755851;-1.431590596;1.033492272,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC1705,C,linear_acceleration,14,0.244129601,0.106055856,2.024470446;-0.135573798,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC1705,C,quadratic_acceleration,14,0.234652956,0.115532501,2.755438876;-1.541797818;0.590146049,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC1705,C,radius_plus_acceleration,14,0.239793574,0.110391883,2.240285608;0.766385993;-0.652827857,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2366,C,galaxy_constant,26,0.155796632,0.144003639,0.637239934,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2366,C,linear_radius,26,0.136276545,0.163523727,0.447427423;0.359890753,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2366,C,quadratic_radius,26,0.064471300,0.235328972,0.182230654;2.077455021;-1.703890986,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2366,C,linear_acceleration,26,0.137986262,0.161814010,1.122993974;-0.371424090,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2366,C,quadratic_acceleration,26,0.134346863,0.165453408,-1.712125384;3.711646460;-1.441704454,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2366,C,radius_plus_acceleration,26,0.111956894,0.187843377,1.029261747;0.387348303;-0.455963458,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2403,A,galaxy_constant,73,0.154284445,0.033566859,1.225383465,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2403,A,linear_radius,73,0.167118129,0.020733175,1.083983165;0.227166195,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2403,A,quadratic_radius,73,0.166560692,0.021290612,1.134825012;-0.039914898;0.245718609,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2403,A,linear_acceleration,73,0.166858143,0.020993161,1.058531208;0.160636051,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2403,A,quadratic_acceleration,73,0.167047362,0.020803942,1.150366384;-0.142462941;0.180623723,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2403,A,radius_plus_acceleration,73,0.167025388,0.020825916,1.095275238;0.305290241;-0.057688239,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2976,C,galaxy_constant,27,0.210148724,-0.009445426,0.516172764,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2976,C,linear_radius,27,0.170518852,0.030184446,0.069911816;1.239828813,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2976,C,quadratic_radius,27,0.156163932,0.044539366,-0.240047275;3.319162494;-2.245002967,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC2976,C,linear_acceleration,27,0.161348069,0.039355228,1.531301740;-2.079825738,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
