Galaxy,StellarMassVariant,RadiusKpc,VobsKms,ErrVobsKms,VbarKms,Model,VmodelKms,LogResidual,aN_over_a0,TPGLogKernel,RequiredS_tauDiagnostic,RadiusMatching,EndpointUse,ForbiddenUse,Guardrail
DDO126,kinematic,0.400000000,8.670000000,1.480000000,9.058294548,NewtonianBaryonic,9.058294548,-0.019027341,0.055398894,1.060961200,-0.040403162,linear_interpolation_to_Vobs_radius,preregistered_DDO126_public_only_expansion_test,endpoint_tuning_or_tau_validation_claim,tau_signal_ddo126_scoring_pilot_not_tau_core_validation
DDO126,kinematic,0.400000000,8.670000000,1.480000000,9.058294548,MONDSimpleMu,19.800104460,-0.358648384,0.055398894,1.060961200,-0.040403162,linear_interpolation_to_Vobs_radius,preregistered_DDO126_public_only_expansion_test,endpoint_tuning_or_tau_validation_claim,tau_signal_ddo126_scoring_pilot_not_tau_core_validation
DDO126,kinematic,0.400000000,8.670000000,1.480000000,9.058294548,EmpiricalRARLike,19.779945834,-0.358206001,0.055398894,1.060961200,-0.040403162,linear_interpolation_to_Vobs_radius,preregistered_DDO126_public_only_expansion_test,endpoint_tuning_or_tau_validation_claim,tau_signal_ddo126_scoring_pilot_not_tau_core_validation
DDO126,kinematic,0.400000000,8.670000000,1.480000000,9.058294548,FixedTPG_S1,18.668793598,-0.333097157,0.055398894,1.060961200,-0.040403162,linear_interpolation_to_Vobs_radius,preregistered_DDO126_public_only_expansion_test,endpoint_tuning_or_tau_validation_claim,tau_signal_ddo126_scoring_pilot_not_tau_core_validation
DDO126,kinematic,0.400000000,8.673400000,1.480000000,9.058294548,NewtonianBaryonic,9.058294548,-0.018857063,0.055398894,1.060961200,-0.040049382,linear_interpolation_to_Vobs_radius,preregistered_DDO126_public_only_expansion_test,endpoint_tuning_or_tau_validation_claim,tau_signal_ddo126_scoring_pilot_not_tau_core_validation
DDO126,kinematic,0.400000000,8.673400000,1.480000000,9.058294548,MONDSimpleMu,19.800104460,-0.358478106,0.055398894,1.060961200,-0.040049382,linear_interpolation_to_Vobs_radius,preregistered_DDO126_public_only_expansion_test,endpoint_tuning_or_tau_validation_claim,tau_signal_ddo126_scoring_pilot_not_tau_core_validation
DDO126,kinematic,0.400000000,8.673400000,1.480000000,9.058294548,EmpiricalRARLike,19.779945834,-0.358035722,0.055398894,1.060961200,-0.040049382,linear_interpolation_to_Vobs_radius,preregistered_DDO126_public_only_expansion_test,endpoint_tuning_or_tau_validation_claim,tau_signal_ddo126_scoring_pilot_not_tau_core_validation
DDO126,kinematic,0.400000000,8.673400000,1.480000000,9.058294548,FixedTPG_S1,18.668793598,-0.332926879,0.055398894,1.060961200,-0.040049382,linear_interpolation_to_Vobs_radius,preregistered_DDO126_public_only_expansion_test,endpoint_tuning_or_tau_validation_claim,tau_signal_ddo126_scoring_pilot_not_tau_core_validation
DDO126,kinematic,0.530000000,12.550000000,2.630000000,10.444600672,NewtonianBaryonic,10.444600672,0.079751886,0.055587356,1.059802868,0.190203082,linear_interpolation_to_Vobs_radius,preregistered_DDO126_public_only_expansion_test,endpoint_tuning_or_tau_validation_claim,tau_signal_ddo126_scoring_pilot_not_tau_core_validation
DDO126,kinematic,0.530000000,12.550000000,2.630000000,10.444600672,MONDSimpleMu,22.813256565,-0.259543559,0.055587356,1.059802868,0.190203082,linear_interpolation_to_Vobs_radius,preregistered_DDO126_public_only_expansion_test,endpoint_tuning_or_tau_validation_claim,tau_signal_ddo126_scoring_pilot_not_tau_core_validation
