Family,NGalaxies,MedianRMSLog,MeanRMSLog,Interpretation,Guardrail
fixed_s1,45,0.187851304,0.248502659,in_sample_required_s_tau_shape_diagnostic,paper3_seed_candidate_search_not_tau_core_validation
galaxy_constant,45,0.187019331,0.182604064,in_sample_required_s_tau_shape_diagnostic,paper3_seed_candidate_search_not_tau_core_validation
linear_radius,45,0.146077757,0.168346613,in_sample_required_s_tau_shape_diagnostic,paper3_seed_candidate_search_not_tau_core_validation
quadratic_radius,45,0.144940097,0.152733429,in_sample_required_s_tau_shape_diagnostic,paper3_seed_candidate_search_not_tau_core_validation
linear_acceleration,45,0.165393005,0.167225695,in_sample_required_s_tau_shape_diagnostic,paper3_seed_candidate_search_not_tau_core_validation
quadratic_acceleration,45,0.164762770,0.159597065,in_sample_required_s_tau_shape_diagnostic,paper3_seed_candidate_search_not_tau_core_validation
radius_plus_acceleration,45,0.143416965,0.151825074,in_sample_required_s_tau_shape_diagnostic,paper3_seed_candidate_search_not_tau_core_validation
