GalaxyName,Class,DistanceMpc,DistanceErrorMpc,DistanceFractionalError,DistanceQualityFlag_QD,NPoints,MeanErrVobsKms,InclinationErrorDeg,MaxRadiusKpc,AngularRadiusProxy_KpcPerMpc,ReconstructionRiskChannel_v01,EnvTheta1,EnvTheta5,EnvThetaj,EnvMaxTheta,EnvMainDisturber,EnvironmentCuePresent,W_tau_eff_candidate_score_v01,W_tau_eff_abs_v01,ReadoutUse,InterpretationGuardrail,DistanceSplit,DistanceSplitMedianCutoff,DistanceFractionalErrorSplit,DistanceFractionalErrorSplitMedianCutoff,NPointsSplit,NPointsSplitMedianCutoff,MaxRadiusSplit,MaxRadiusSplitMedianCutoff,AngularRadiusProxySplit,AngularRadiusProxySplitMedianCutoff,ReconstructionRiskSplit,ReconstructionRiskSplitMedianCutoff,EnvMaxThetaSplit,EnvMaxThetaSplitMedianCutoff
CamB,A,3.36,0.26,0.077380952,2,9,1.5,5.0,1.790000000,0.532738095,1.253756927,0.9,1.0,1.72,1.720000000,IC0342,true,0.854545455,0.914034998,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,high,0.765000000
DDO154,A,4.04,0.20,0.049504950,2,12,0.6250000000000001,3.0,5.920000000,1.465346535,0.809435757,0.4,0.4,1.27,1.270000000,NGC4826,true,0.213636364,0.015609254,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,low,15.000000000,low,9.860000000,high,0.851666667,low,1.102937033,high,0.765000000
ESO079-G014,A,28.70,7.17,0.249825784,1,15,5.7186666666666675,5.0,16.670000000,0.580836237,1.432718137,,,,,,false,0.136363636,0.023903266,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,high,0.138888889,low,15.000000000,high,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
ESO116-G012,A,13.00,3.90,0.300000000,1,15,3.134666666666667,3.0,9.860000000,0.758461538,0.964764722,,,,,,false,0.254545455,0.087400328,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,high,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,low,1.102937033,missing,0.765000000
IC2574,C,3.91,0.20,0.051150895,2,34,3.2411764705882353,7.0,10.230000000,2.616368286,1.233063442,1.0,1.2,1.88,1.880000000,MESSIER081,true,0.718181818,0.186301949,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,high,15.000000000,high,9.860000000,high,0.851666667,high,1.102937033,high,0.765000000
NGC0055,C,2.11,0.11,0.052132701,2,21,3.8619047619047624,3.0,13.500000000,6.398104265,0.938684941,0.1,0.1,0.26,0.260000000,NGC0300,true,0.681818182,0.188681855,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,high,15.000000000,high,9.860000000,high,0.851666667,low,1.102937033,low,0.765000000
NGC1705,C,5.73,0.29,0.050610820,2,14,5.7492857142857146,10.0,6.000000000,1.047120419,2.014995002,-1.8,-1.4,,-1.400000000,NGC0253,true,0.759090909,0.350111963,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,low,15.000000000,low,9.860000000,high,0.851666667,high,1.102937033,low,0.765000000
NGC2366,C,3.27,0.16,0.048929664,2,26,2.607307692307693,5.0,6.060000000,1.853211009,0.995810936,1.0,1.1,1.89,1.890000000,NGC2403,true,0.759090909,0.211342066,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,high,15.000000000,low,9.860000000,high,0.851666667,low,1.102937033,high,0.765000000
NGC2403,A,3.16,0.16,0.050632911,2,73,2.4208219178082198,3.0,20.870000000,6.604430380,0.632039895,0.2,0.6,1.86,1.860000000,DDO044,true,0.168181818,0.063210375,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,high,15.000000000,high,9.860000000,high,0.851666667,low,1.102937033,high,0.765000000
NGC2976,C,3.58,0.18,0.050279330,2,27,3.5051851851851854,10.0,2.270000000,0.634078212,1.629629630,2.9,3.0,1.89,3.000000000,MESSIER081,true,0.663636364,0.149556322,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,high,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,high,0.765000000
