GalaxyName,Class,DistanceMpc,DistanceErrorMpc,DistanceFractionalError,DistanceQualityFlag_QD,NPoints,MeanErrVobsKms,InclinationErrorDeg,MaxRadiusKpc,AngularRadiusProxy_KpcPerMpc,ReconstructionRiskChannel_v01,EnvTheta1,EnvTheta5,EnvThetaj,EnvMaxTheta,EnvMainDisturber,EnvironmentCuePresent,W_tau_eff_candidate_score_v01,W_tau_eff_abs_v01,ReadoutUse,InterpretationGuardrail,DistanceSplit,DistanceSplitMedianCutoff,DistanceFractionalErrorSplit,DistanceFractionalErrorSplitMedianCutoff,NPointsSplit,NPointsSplitMedianCutoff,MaxRadiusSplit,MaxRadiusSplitMedianCutoff,AngularRadiusProxySplit,AngularRadiusProxySplitMedianCutoff,ReconstructionRiskSplit,ReconstructionRiskSplitMedianCutoff,EnvMaxThetaSplit,EnvMaxThetaSplitMedianCutoff
NGC3109,C,1.33,0.07,0.052631579,2,25,2.752,5.0,6.450000000,4.849624060,1.017263079,0.2,0.2,-1.28,0.200000000,Antlia,true,0.363636364,0.128416526,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,high,15.000000000,low,9.860000000,high,0.851666667,low,1.102937033,low,0.765000000
NGC3198,A,13.80,1.40,0.101449275,3,43,5.043023255813953,3.0,44.080000000,3.194202899,0.929189847,,,,,,true,0.304545455,0.050659103,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,low,0.138888889,high,15.000000000,high,9.860000000,high,0.851666667,low,1.102937033,missing,0.765000000
NGC3741,C,3.21,0.17,0.052959502,2,21,2.3019047619047623,4.0,7.000000000,2.180685358,0.901444404,-0.7,-0.4,-0.12,-0.120000000,MESSIER081,true,0.440909091,0.137722705,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,high,15.000000000,low,9.860000000,high,0.851666667,low,1.102937033,low,0.765000000
NGC3917,A,18.00,2.50,0.138888889,4,17,4.211764705882352,2.0,14.860000000,0.825555556,0.916866944,,,,,,false,0.209090909,0.008894630,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,low,0.138888889,high,15.000000000,high,9.860000000,low,0.851666667,low,1.102937033,missing,0.765000000
NGC3972,A,18.00,2.50,0.138888889,4,10,5.01,1.0,8.720000000,0.484444444,1.087548136,,,,,,false,0.309090909,0.033354209,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,low,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,low,1.102937033,missing,0.765000000
NGC4183,A,18.00,2.50,0.138888889,4,23,5.960869565217393,2.0,21.020000000,1.167777778,1.006475594,,,,,,false,0.063636364,0.004923983,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,low,0.138888889,high,15.000000000,high,9.860000000,high,0.851666667,low,1.102937033,missing,0.765000000
NGC4559,A,9.00,2.70,0.300000000,1,32,5.450312500000001,1.0,20.970000000,2.330000000,0.785670626,-0.4,-0.2,1.28,1.280000000,NGC4631,true,0.600000000,0.130098087,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,high,0.138888889,high,15.000000000,high,9.860000000,high,0.851666667,low,1.102937033,high,0.765000000
NGC5055,C,9.90,0.30,0.030303030,2,28,3.3560714285714277,6.0,54.590000000,5.514141414,1.164391126,-0.1,0.1,-0.86,0.100000000,NGC5194,true,0.536363636,0.116494987,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,low,0.138888889,high,15.000000000,high,9.860000000,high,0.851666667,high,1.102937033,low,0.765000000
NGC5585,A,7.06,2.12,0.300283286,1,24,2.223333333333333,2.0,10.960000000,1.552407932,0.641988354,-0.8,-0.5,,-0.500000000,MESSIER101,true,0.327272727,0.101723376,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,high,0.138888889,high,15.000000000,high,9.860000000,high,0.851666667,low,1.102937033,low,0.765000000
NGC6503,A,6.26,0.31,0.049520767,2,31,2.3548387096774195,2.0,23.500000000,3.753993610,0.607451137,-1.1,-0.8,-1.69,-0.800000000,NGC6946,true,0.290909091,0.047796563,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,high,15.000000000,high,9.860000000,high,0.851666667,low,1.102937033,low,0.765000000
NGC7331,A,14.70,1.50,0.102040816,3,36,5.138888888888889,2.0,36.310000000,2.470068027,0.849805109,,,,,,false,0.409090909,0.086335928,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,low,0.138888889,high,15.000000000,high,9.860000000,high,0.851666667,low,1.102937033,missing,0.765000000
UGC00128,A,64.50,9.70,0.150387597,1,22,2.6354545454545457,10.0,53.750000000,0.833333333,1.589008214,,,,,,false,0.463636364,0.103579831,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,high,0.138888889,high,15.000000000,high,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC00191,A,17.10,5.10,0.298245614,1,9,2.2966666666666664,5.0,9.980000000,0.583625731,1.329517705,,,,,,false,0.154545455,0.070366381,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,high,0.138888889,low,15.000000000,high,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC00731,C,12.50,3.75,0.300000000,1,12,2.7966666666666664,3.0,10.910000000,0.872800000,1.015955199,,,,,,false,0.563636364,0.210013035,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,high,0.138888889,low,15.000000000,high,9.860000000,high,0.851666667,low,1.102937033,missing,0.765000000
UGC02455,C,6.92,2.08,0.300578035,1,8,3.64,5.0,4.030000000,0.582369942,1.526709402,,,,,,false,0.895454545,0.766182963,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,high,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC03580,C,20.70,5.20,0.251207729,1,47,5.185957446808511,4.0,27.060000000,1.307246377,1.043997510,,,,,,false,0.531818182,0.207662602,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,high,0.138888889,high,15.000000000,high,9.860000000,high,0.851666667,low,1.102937033,missing,0.765000000
UGC04305,C,3.45,0.17,0.049275362,2,22,3.5599999999999996,10.0,5.520000000,1.600000000,1.676929908,,,,,,false,0.895454545,0.549799788,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,high,15.000000000,low,9.860000000,high,0.851666667,high,1.102937033,missing,0.765000000
UGC04325,C,9.60,2.88,0.300000000,1,8,3.0525,3.0,5.590000000,0.582291667,1.248617568,,,,,,false,0.777272727,0.256220303,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,high,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC04499,C,12.50,3.75,0.300000000,1,9,2.948888888888889,3.0,8.180000000,0.654400000,1.169319996,,,,,,false,0.581818182,0.096146716,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,high,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC05253,C,22.90,5.72,0.249781659,1,73,5.951232876712327,4.0,53.290000000,2.327074236,1.078883241,,,,,,false,0.222727273,0.013041384,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,high,0.138888889,high,15.000000000,high,9.860000000,high,0.851666667,low,1.102937033,missing,0.765000000
UGC05716,A,21.30,5.30,0.248826291,1,12,1.2566666666666666,10.0,12.370000000,0.580751174,1.647283272,,,,,,false,0.377272727,0.090702888,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,high,0.138888889,low,15.000000000,high,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC05764,A,7.47,2.24,0.299866131,1,10,1.302,10.0,3.620000000,0.484605087,1.734927679,,,,,,false,0.850000000,0.282744392,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,high,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC05829,C,8.64,2.59,0.299768519,1,11,5.0600000000000005,10.0,6.910000000,0.799768519,2.046848451,,,,,,false,0.122727273,0.011351180,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,high,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC05918,C,7.66,2.30,0.300261097,1,8,3.93,5.0,4.460000000,0.582245431,1.554287593,,,,,,false,0.359090909,0.090353387,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,high,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC06446,C,12.00,3.60,0.300000000,1,17,5.000000000000001,3.0,10.220000000,0.851666667,1.102937033,,,,,,false,0.577272727,0.162087165,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,high,0.138888889,high,15.000000000,high,9.860000000,low,0.851666667,low,1.102937033,missing,0.765000000
UGC06818,C,18.00,2.50,0.138888889,4,8,5.15625,3.0,6.980000000,0.387777778,1.448678325,,,,,,false,0.504545455,0.197344531,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,low,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC06917,C,18.00,2.50,0.138888889,4,11,4.163636363636363,2.0,10.470000000,0.581666667,1.072717880,,,,,,false,0.290909091,0.052493396,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,low,0.138888889,low,15.000000000,high,9.860000000,low,0.851666667,low,1.102937033,missing,0.765000000
UGC06973,C,18.00,2.50,0.138888889,4,9,5.688888888888889,3.0,7.850000000,0.436111111,1.429886353,,,,,,false,0.500000000,0.155543868,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,low,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC07323,C,8.00,2.40,0.300000000,1,10,3.87,3.0,5.820000000,0.727500000,1.201359538,,,,,,false,0.654545455,0.135135774,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,high,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC07399,C,8.43,2.53,0.300118624,1,10,3.379,3.0,6.130000000,0.727164887,1.154666808,,,,,,false,0.845454545,0.394230355,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,high,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC07577,C,2.59,0.13,0.050193050,2,9,3.17,3.0,1.690000000,0.652509653,1.190347046,,,,,,false,0.936363636,0.634542779,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC07603,C,4.70,1.41,0.300000000,1,12,2.89,3.0,4.110000000,0.874468085,1.024830938,,,,,,false,0.395454545,0.118550725,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,high,0.138888889,low,15.000000000,low,9.860000000,high,0.851666667,low,1.102937033,missing,0.765000000
UGC08490,C,4.65,0.53,0.113978495,2,30,3.6899999999999986,3.0,10.150000000,2.182795699,0.850908707,,,,,,false,0.754545455,0.184786180,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,high,15.000000000,high,9.860000000,high,0.851666667,low,1.102937033,missing,0.765000000
UGC08837,C,7.21,0.36,0.049930652,2,8,2.53875,5.0,4.200000000,0.582524272,1.421983599,,,,,,false,0.950000000,0.397132098,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,low,8.640000000,low,0.138888889,low,15.000000000,low,9.860000000,low,0.851666667,high,1.102937033,missing,0.765000000
UGC12632,C,9.77,2.93,0.299897646,1,15,3.560666666666667,3.0,10.660000000,1.091095189,1.005276134,,,,,,false,0.231818182,0.048576173,distance_resolution_environment_join_no_formula_endpoint,distance_resolution_environment_control_no_formula_endpoint,high,8.640000000,high,0.138888889,low,15.000000000,high,9.860000000,high,0.851666667,low,1.102937033,missing,0.765000000
