GalaxyName,Class,NPoints,Projection_Mean,Projection_Median,Projection_RMS,Projection_OuterInnerRatio,Projection_RadiusPearson,Projection_LowAccelerationMean,Projection_OutlierFraction_gt_0p15,MOND_Mean,MOND_Median,MOND_RMS,MOND_OuterInnerRatio,MOND_RadiusPearson,MOND_LowAccelerationMean,MOND_OutlierFraction_gt_0p15,RAR_Mean,RAR_Median,RAR_RMS,RAR_OuterInnerRatio,RAR_RadiusPearson,RAR_LowAccelerationMean,RAR_OutlierFraction_gt_0p15,ProjectionMinusMOND_Mean,ProjectionMinusRAR_Mean,InferenceUse
CamB,A,9,0.914035002,0.915686458,0.963585384,0.446832955,-0.997883527,0.914035002,1.000000000,0.998345853,0.979228897,1.044682855,0.483985133,-0.992957514,0.998345853,1.000000000,0.997601857,0.978286482,1.043973988,0.483754877,-0.992887283,0.997601857,1.000000000,-0.084310851,-0.083566855,feature_extraction_only_not_external_validation
DDO154,A,12,0.099867441,0.075614401,0.138812041,0.463332081,-0.481430877,0.099867441,0.166666667,0.128750990,0.074200783,0.171818953,0.264310559,-0.731623090,0.128750990,0.250000000,0.128220021,0.073662362,0.171311799,0.263762830,-0.730942004,0.128220021,0.250000000,-0.028883550,-0.028352581,feature_extraction_only_not_external_validation
ESO079-G014,A,15,0.098961100,0.074433111,0.116776650,0.580192328,-0.260684012,0.098961100,0.200000000,0.091155264,0.059410808,0.113658118,0.406750350,-0.360242661,0.091155264,0.133333333,0.092458332,0.062765545,0.113603125,0.441900957,-0.342093352,0.092458332,0.133333333,0.007805837,0.006502768,feature_extraction_only_not_external_validation
ESO116-G012,A,15,0.103246279,0.128434145,0.118483994,3.393684981,0.793314037,0.148124808,0.333333333,0.085432283,0.094888497,0.095011893,2.182732945,0.581624638,0.105671354,0.000000000,0.086062287,0.096314878,0.096167830,2.273636433,0.595751243,0.107076729,0.000000000,0.017813996,0.017183993,feature_extraction_only_not_external_validation
IC2574,C,34,0.186301964,0.146111040,0.221285260,0.313897929,-0.752166328,0.186301964,0.470588235,0.304009828,0.270921555,0.329941367,0.457277696,-0.780309031,0.304009828,1.000000000,0.303549975,0.270465505,0.329534404,0.456578040,-0.780441741,0.303549975,1.000000000,-0.117707864,-0.117248011,feature_extraction_only_not_external_validation
NGC0055,C,21,0.188681824,0.155373031,0.204516651,0.496638974,-0.761907451,0.142112517,0.571428571,0.229948942,0.207227858,0.240688313,0.638045629,-0.640474169,0.192317945,1.000000000,0.228401688,0.205832267,0.239130736,0.638960451,-0.636521978,0.191076107,1.000000000,-0.041267118,-0.039719864,feature_extraction_only_not_external_validation
NGC1705,C,14,0.350111955,0.358672421,0.354417125,1.207892052,0.475278991,0.367805796,1.000000000,0.282003699,0.273070129,0.285791976,0.863631525,-0.439750049,0.271057749,1.000000000,0.284277689,0.274246864,0.288307540,0.848974372,-0.470585432,0.271754873,1.000000000,0.068108256,0.065834266,feature_extraction_only_not_external_validation
NGC2366,C,26,0.211342075,0.156723268,0.250878781,0.497149633,-0.550395972,0.211342075,0.538461538,0.274367776,0.222573107,0.309827403,0.601930601,-0.482462683,0.274367776,0.769230769,0.273349740,0.221736022,0.308970559,0.601641105,-0.481279092,0.273349740,0.730769231,-0.063025700,-0.062007664,feature_extraction_only_not_external_validation
NGC2403,A,73,0.074093248,0.072985533,0.084927422,2.691181120,0.788393294,0.121779919,0.082191781,0.051470439,0.051213351,0.055828097,1.505121114,0.396203350,0.062122029,0.000000000,0.053741537,0.053482178,0.058345320,1.436262631,0.328415425,0.063207577,0.000000000,0.022622809,0.020351712,feature_extraction_only_not_external_validation
NGC2976,C,27,0.151920645,0.080804074,0.239111203,0.100731973,-0.728961356,0.151920645,0.259259259,0.164442135,0.093014694,0.248291725,0.125879563,-0.733313101,0.164442135,0.296296296,0.159180083,0.087826984,0.245486896,0.111206212,-0.732817030,0.159180083,0.259259259,-0.012521490,-0.007259438,feature_extraction_only_not_external_validation
