GalaxyName,Class,NPoints,Projection_Mean,Projection_Median,Projection_RMS,Projection_OuterInnerRatio,Projection_RadiusPearson,Projection_LowAccelerationMean,Projection_OutlierFraction_gt_0p15,MOND_Mean,MOND_Median,MOND_RMS,MOND_OuterInnerRatio,MOND_RadiusPearson,MOND_LowAccelerationMean,MOND_OutlierFraction_gt_0p15,RAR_Mean,RAR_Median,RAR_RMS,RAR_OuterInnerRatio,RAR_RadiusPearson,RAR_LowAccelerationMean,RAR_OutlierFraction_gt_0p15,ProjectionMinusMOND_Mean,ProjectionMinusRAR_Mean,InferenceUse
NGC3109,C,25,0.156025471,0.161649138,0.175872342,4.011695837,0.918736379,0.156025471,0.600000000,0.115873091,0.109451194,0.137333913,0.695425834,-0.338040639,0.115873091,0.200000000,0.116022974,0.109892744,0.137404074,0.699564038,-0.334385692,0.116022974,0.200000000,0.040152381,0.040002498,feature_extraction_only_not_external_validation
NGC3198,A,43,0.061692471,0.013130994,0.156224718,0.126510012,-0.346794354,0.011542359,0.116279070,0.088172662,0.033835782,0.169240927,1.096894437,-0.122170157,0.079958305,0.116279070,0.085164385,0.030095961,0.165313449,1.139564472,-0.112077011,0.079056661,0.116279070,-0.026480191,-0.023471914,feature_extraction_only_not_external_validation
NGC3741,C,21,0.181633280,0.226474080,0.204417844,2.586680813,0.729952246,0.181633280,0.666666667,0.076801766,0.062929360,0.101624658,0.690909524,-0.346767224,0.076801766,0.095238095,0.076622838,0.063140908,0.101249417,0.697530257,-0.342638316,0.076622838,0.095238095,0.104831514,0.105010443,feature_extraction_only_not_external_validation
NGC3917,A,17,0.072647376,0.034283226,0.143599282,0.065451793,-0.612061394,0.027833888,0.117647059,0.070335541,0.025185752,0.145961028,0.113005565,-0.576294157,0.008419162,0.176470588,0.070710667,0.025723340,0.145500872,0.101013061,-0.588905148,0.006834613,0.117647059,0.002311836,0.001936709,feature_extraction_only_not_external_validation
NGC3972,A,10,0.081464334,0.082727933,0.101666153,0.364762068,-0.589106921,0.081464334,0.100000000,0.072366644,0.066634341,0.097458251,0.302690643,-0.615099368,0.072366644,0.100000000,0.074529771,0.069988124,0.097970668,0.309612544,-0.622367142,0.074529771,0.100000000,0.009097690,0.006934564,feature_extraction_only_not_external_validation
NGC4183,A,23,0.058448708,0.062464309,0.067793794,0.562476130,-0.483426652,0.048928593,0.000000000,0.086218812,0.098834440,0.093933888,1.892534544,0.527722428,0.113095134,0.000000000,0.086099173,0.099155628,0.093699945,1.811258991,0.497715631,0.112118579,0.000000000,-0.027770103,-0.027650465,feature_extraction_only_not_external_validation
NGC4559,A,32,0.130098018,0.132196659,0.133934337,0.795175119,-0.351702751,0.121892986,0.250000000,0.156012608,0.152749652,0.159170541,0.989184332,0.048788990,0.164721215,0.531250000,0.152583440,0.150204233,0.155745992,1.020178254,0.117300284,0.163331017,0.500000000,-0.025914591,-0.022485423,feature_extraction_only_not_external_validation
NGC5055,C,28,0.116494993,0.112743582,0.117536453,0.837301003,-0.530853082,0.106366950,0.035714286,0.145982305,0.146486805,0.147367961,1.171161886,0.481237154,0.164640024,0.392857143,0.136802603,0.135187885,0.138729954,1.308740912,0.730639951,0.163556917,0.285714286,-0.029487311,-0.020307610,feature_extraction_only_not_external_validation
NGC5585,A,24,0.127912749,0.057633662,0.173858350,0.178256460,-0.700606610,0.035184629,0.375000000,0.133840951,0.067482381,0.182562539,0.131322110,-0.719443364,0.024594884,0.375000000,0.131309835,0.065366772,0.179688750,0.131606679,-0.713829158,0.024316222,0.375000000,-0.005928203,-0.003397086,feature_extraction_only_not_external_validation
NGC6503,A,31,0.061055194,0.053023116,0.072498887,1.697505850,0.345904602,0.070637402,0.032258065,0.023206690,0.010782037,0.043993628,0.359424811,-0.429846989,0.013347879,0.032258065,0.022689423,0.012316904,0.043219602,0.359203894,-0.419517707,0.013301661,0.032258065,0.037848504,0.038365771,feature_extraction_only_not_external_validation
NGC7331,A,36,0.086375731,0.082925917,0.098042642,0.284144782,-0.919984958,0.086375731,0.138888889,0.102272511,0.100020882,0.112036328,0.361361117,-0.933591845,0.102272511,0.194444444,0.092067067,0.089285435,0.100097717,0.388646684,-0.914543594,0.092067067,0.111111111,-0.015896779,-0.005691336,feature_extraction_only_not_external_validation
UGC00128,A,22,0.116456447,0.106425717,0.138644763,0.398371105,-0.582740844,0.116456447,0.272727273,0.096890948,0.083892355,0.110243251,0.601207818,-0.460811110,0.096890948,0.181818182,0.096911626,0.083537293,0.110341679,0.597200454,-0.465166373,0.096911626,0.181818182,0.019565499,0.019544821,feature_extraction_only_not_external_validation
UGC00191,A,9,0.098928115,0.050017544,0.124355499,0.304610038,-0.409085597,0.039042358,0.222222222,0.095821300,0.096227435,0.115946986,0.915746676,-0.022632030,0.068042525,0.222222222,0.096298752,0.095053446,0.116702790,0.896124083,-0.036565825,0.066907246,0.222222222,0.003106815,0.002629363,feature_extraction_only_not_external_validation
UGC00731,C,12,0.262149388,0.200139029,0.339703437,0.113310974,-0.905692564,0.262149388,0.500000000,0.208146652,0.173170403,0.246646797,0.336239092,-0.685384040,0.208146652,0.583333333,0.208061138,0.173027700,0.246660902,0.334348858,-0.687653640,0.208061138,0.583333333,0.054002736,0.054088250,feature_extraction_only_not_external_validation
UGC02455,C,8,0.766182929,0.831102433,0.793075490,0.575081600,-0.906339873,0.766182929,1.000000000,0.779581631,0.843497015,0.805939674,0.581443723,-0.906675270,0.779581631,1.000000000,0.774034560,0.837920487,0.800198251,0.581694971,-0.906378888,0.774034560,1.000000000,-0.013398702,-0.007851631,feature_extraction_only_not_external_validation
UGC03580,C,47,0.233293729,0.213461247,0.280295930,0.196307352,-0.719992416,0.052744732,0.638297872,0.247890415,0.229024775,0.294397388,0.088561398,-0.756904115,0.056149338,0.638297872,0.239087136,0.220105326,0.284289641,0.089534076,-0.748871167,0.055159405,0.638297872,-0.014596686,-0.005793407,feature_extraction_only_not_external_validation
UGC04305,C,22,0.549799745,0.589481026,0.595364038,1.409405065,0.303245341,0.560838494,1.000000000,0.600069593,0.648605922,0.647098431,1.357070807,0.268901238,0.612047284,1.000000000,0.598803187,0.647510505,0.646001762,1.358078870,0.268689139,0.610807559,1.000000000,-0.050269848,-0.049003442,feature_extraction_only_not_external_validation
UGC04325,C,8,0.256220387,0.228201176,0.284250584,0.319956477,-0.926610322,0.233692339,0.750000000,0.228411723,0.206717221,0.259597678,0.267819922,-0.924414391,0.197556423,0.625000000,0.230440030,0.209147289,0.261395008,0.271565631,-0.924303710,0.199145736,0.625000000,0.027808664,0.025780357,feature_extraction_only_not_external_validation
UGC04499,C,9,0.096146719,0.063911167,0.137445134,0.391077212,-0.373682951,0.062808697,0.111111111,0.139366821,0.102723515,0.168032936,0.585448022,-0.264649925,0.108478272,0.333333333,0.137922376,0.101631722,0.166726695,0.585982379,-0.261288940,0.107134429,0.222222222,-0.043220102,-0.041775656,feature_extraction_only_not_external_validation
UGC05253,C,73,0.032724870,0.016758305,0.080485995,0.650305233,-0.024948899,0.022398110,0.027397260,0.041806291,0.030425250,0.082571025,1.471659668,0.010236812,0.062429119,0.027397260,0.031861359,0.013062996,0.082053269,2.092191110,0.078749057,0.061174556,0.027397260,-0.009081421,0.000863511,feature_extraction_only_not_external_validation
UGC05716,A,12,0.093319973,0.108267140,0.113234582,0.153441874,-0.941345377,0.093319973,0.083333333,0.075758030,0.076770490,0.087992570,0.885489536,0.040399236,0.075758030,0.083333333,0.075913316,0.077689949,0.088175898,0.872584816,0.026775253,0.075913316,0.083333333,0.017561944,0.017406657,feature_extraction_only_not_external_validation
UGC05764,A,10,0.282744366,0.268742822,0.329468364,0.239966238,-0.971425235,0.282744366,0.700000000,0.212263435,0.203285247,0.253180083,0.190448176,-0.969608999,0.212263435,0.600000000,0.212731971,0.204199554,0.253719025,0.190436913,-0.969864273,0.212731971,0.600000000,0.070480930,0.070012394,feature_extraction_only_not_external_validation
UGC05829,C,11,0.124639119,0.134526214,0.138511849,0.707455562,-0.325478517,0.124639119,0.272727273,0.119409264,0.130074664,0.134425123,3.415555889,0.886563260,0.119409264,0.363636364,0.118942968,0.129369606,0.133780413,3.386049659,0.886011197,0.118942968,0.363636364,0.005229855,0.005696151,feature_extraction_only_not_external_validation
UGC05918,C,8,0.105256193,0.061852803,0.142410680,0.149740049,-0.724099296,0.105256193,0.250000000,0.094239065,0.102600543,0.105430543,2.034682603,0.620963282,0.094239065,0.125000000,0.093989564,0.102555392,0.105249912,2.027342621,0.615567840,0.093989564,0.125000000,0.011017128,0.011266628,feature_extraction_only_not_external_validation
UGC06446,C,17,0.163168810,0.154280053,0.194477890,0.176499565,-0.831810514,0.154220510,0.529411765,0.124722309,0.096644193,0.156385169,0.151705933,-0.767591744,0.114737956,0.411764706,0.125323013,0.095981521,0.157244578,0.148473523,-0.771380302,0.115175926,0.411764706,0.038446500,0.037845796,feature_extraction_only_not_external_validation
UGC06818,C,8,0.225836659,0.154323663,0.308337913,0.085947016,-0.868725418,0.135130601,0.500000000,0.246188000,0.187273061,0.330447432,0.067284857,-0.890938292,0.153490047,0.500000000,0.244832013,0.186162650,0.329138723,0.065861897,-0.890628191,0.152369110,0.500000000,-0.020351341,-0.018995354,feature_extraction_only_not_external_validation
UGC06917,C,11,0.063881101,0.054891306,0.071490152,1.084614928,-0.377082106,0.040598266,0.000000000,0.041560368,0.021886804,0.053749002,0.364037974,-0.571792222,0.011888067,0.000000000,0.042696271,0.023699718,0.054578575,0.397806363,-0.570239696,0.012686350,0.000000000,0.022320734,0.021184830,feature_extraction_only_not_external_validation
UGC06973,C,9,0.157912063,0.120784624,0.212731540,0.133161239,-0.972853623,0.157912063,0.444444444,0.171760618,0.139891583,0.224073118,0.160253141,-0.980954432,0.171760618,0.444444444,0.158174676,0.126629978,0.209708449,0.147101739,-0.977285543,0.158174676,0.444444444,-0.013848555,-0.000262613,feature_extraction_only_not_external_validation
UGC07323,C,10,0.135135800,0.125319688,0.146477589,0.391621240,-0.857865292,0.135135800,0.500000000,0.158300773,0.148209119,0.168065431,0.451250927,-0.864830239,0.158300773,0.500000000,0.156005141,0.145901536,0.165902515,0.445579519,-0.865275281,0.156005141,0.500000000,-0.023164973,-0.020869341,feature_extraction_only_not_external_validation
UGC07399,C,10,0.394230519,0.404346879,0.397297780,1.103508012,0.378400541,0.402293955,1.000000000,0.355354042,0.360026003,0.358341693,0.995950514,0.035534975,0.351420201,1.000000000,0.357161787,0.361377838,0.360100316,0.990486771,0.018030776,0.352630868,1.000000000,0.038876477,0.037068731,feature_extraction_only_not_external_validation
UGC07577,C,9,0.634542770,0.674716180,0.654467132,1.351832606,0.133878717,0.634542770,1.000000000,0.774297296,0.807380809,0.783044594,1.021856239,-0.230060215,0.774297296,1.000000000,0.773865704,0.806831674,0.782608443,1.021307894,-0.231296770,0.773865704,1.000000000,-0.139754526,-0.139322934,feature_extraction_only_not_external_validation
UGC07603,C,12,0.170319111,0.176270056,0.180772538,1.871918176,0.616717598,0.201206570,0.750000000,0.129928025,0.131122654,0.139546990,1.179879091,0.079862189,0.137761496,0.166666667,0.130595974,0.132538651,0.139863072,1.197543470,0.093239353,0.138799327,0.166666667,0.040391086,0.039723137,feature_extraction_only_not_external_validation
UGC08490,C,30,0.184786120,0.179397562,0.186480775,0.885170912,-0.352937669,0.176861251,0.933333333,0.120017149,0.114629071,0.131624314,0.367539447,-0.913997581,0.091915532,0.266666667,0.121600836,0.115310614,0.133509091,0.363855176,-0.918349090,0.092726445,0.266666667,0.064768971,0.063185284,feature_extraction_only_not_external_validation
UGC08837,C,8,0.397132071,0.387888148,0.439660106,0.325487938,-0.917269995,0.397132071,1.000000000,0.469047682,0.442445594,0.512885689,0.356058145,-0.920396528,0.469047682,1.000000000,0.468162758,0.441346997,0.512159307,0.354945964,-0.920436902,0.468162758,1.000000000,-0.071915611,-0.071030687,feature_extraction_only_not_external_validation
UGC12632,C,15,0.095608511,0.091418433,0.105256872,0.521014153,-0.412806965,0.095608511,0.133333333,0.082423306,0.067889005,0.101584490,3.139928266,0.816929878,0.082423306,0.133333333,0.082392070,0.068626461,0.101364240,3.092293709,0.813432164,0.082392070,0.133333333,0.013185206,0.013216441,feature_extraction_only_not_external_validation
