Metric,N,Value,SecondaryValue,Interpretation,Guardrail
partial_pearson_tau_distance_after_nuisance_vs_score_after_nuisance,45,0.434416486,controls=angular_radius;npoints;mean_err;inclination_error;distance_fractional_error;max_radius,observability_covariate_stress_not_bias_erasure,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
partial_auc_tau_distance_residual_high_vs_low_score_residual,45,0.662000000,residual sign split after nuisance controls,observability_covariate_stress_not_bias_erasure,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
nuisance_model_r2_for_w_tau_score,45,0.207747757,linear nuisance-only score model no velocity endpoint,observability_covariate_stress_not_bias_erasure,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
pearson_NPoints_z_vs_w_tau_score,45,-0.256276232,nuisance channel,observability_covariate_stress_not_bias_erasure,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
pearson_MeanErrVobsKms_z_vs_w_tau_score,45,-0.196321724,nuisance channel,observability_covariate_stress_not_bias_erasure,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
pearson_InclinationErrorDeg_z_vs_w_tau_score,45,0.251685097,nuisance channel,observability_covariate_stress_not_bias_erasure,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
pearson_DistanceFractionalError_z_vs_w_tau_score,45,-0.155582292,nuisance channel,observability_covariate_stress_not_bias_erasure,paper2_submission_source_ready_no_tau_validation_no_external_overclaim
