GalaxyName,Class,NPoints,MeanErrVobsKms,InclinationDeg,InclinationErrorDeg,InclinationBin,ObserverGeometryChannel_v01,ReconstructionRiskChannel_v01,W_tau_eff_candidate_score_v01,W_tau_eff_abs_v01,W_tau_eff_signed_v01,CandidateConfidenceTier,ReviewerDecision,EvidenceType,ResidualBlindCheck,ReadoutUse,InterpretationGuardrail,ObserverGeometrySplit,ReconstructionRiskSplit,ObserverGeometryMedianCutoff,ReconstructionRiskMedianCutoff
NGC6503,A,31,2.3548387096774195,74.0,2.0,inclined_60_75,0.560000000,0.607451137,0.290909091,0.047796563,0.047796563,low_or_control_candidate,B,mixed,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,low,0.200000000,1.102937033
NGC7331,A,36,5.138888888888889,75.0,2.0,edge_on_ge75,0.600000000,0.849805109,0.409090909,0.086335928,-0.086335928,low_or_control_candidate,A,regular_kinematics,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,low,0.200000000,1.102937033
UGC00128,A,22,2.6354545454545457,57.0,10.0,mid_45_60,0.000000000,1.589008214,0.463636364,0.103579831,0.103579831,medium_candidate,A,low_asymmetry,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,high,0.200000000,1.102937033
UGC00191,A,9,2.2966666666666664,45.0,5.0,mid_45_60,0.000000000,1.329517705,0.154545455,0.070366381,0.070366381,low_or_control_candidate,A,low_asymmetry,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,high,0.200000000,1.102937033
UGC00731,C,12,2.7966666666666664,57.0,3.0,mid_45_60,0.000000000,1.015955199,0.563636364,0.210013035,0.210013035,medium_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,low,0.200000000,1.102937033
UGC02455,C,8,3.64,51.0,5.0,mid_45_60,0.000000000,1.526709402,0.895454545,0.766182963,-0.766182963,high_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,high,0.200000000,1.102937033
UGC03580,C,47,5.185957446808511,63.0,4.0,inclined_60_75,0.120000000,1.043997510,0.531818182,0.207662602,-0.207662602,medium_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,low,0.200000000,1.102937033
UGC04305,C,22,3.5599999999999996,40.0,10.0,face_on_lt45,0.250000000,1.676929908,0.895454545,0.549799788,-0.549799788,high_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,high,0.200000000,1.102937033
UGC04325,C,8,3.0525,41.0,3.0,face_on_lt45,0.200000000,1.248617568,0.777272727,0.256220303,0.256220303,high_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,high,0.200000000,1.102937033
UGC04499,C,9,2.948888888888889,50.0,3.0,mid_45_60,0.000000000,1.169319996,0.581818182,0.096146716,-0.096146716,medium_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,high,0.200000000,1.102937033
UGC05253,C,73,5.951232876712327,37.0,4.0,face_on_lt45,0.400000000,1.078883241,0.222727273,0.013041384,0.013041384,low_or_control_candidate,C,interaction,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,low,0.200000000,1.102937033
UGC05716,A,12,1.2566666666666666,54.0,10.0,mid_45_60,0.000000000,1.647283272,0.377272727,0.090702888,0.090702888,low_or_control_candidate,A,low_asymmetry,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,high,0.200000000,1.102937033
UGC05764,A,10,1.302,60.0,10.0,inclined_60_75,0.000000000,1.734927679,0.850000000,0.282744392,0.282744392,high_candidate,A,low_asymmetry,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,high,0.200000000,1.102937033
UGC05829,C,11,5.0600000000000005,34.0,10.0,face_on_lt45,0.550000000,2.046848451,0.122727273,0.011351180,0.011351180,low_or_control_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,high,0.200000000,1.102937033
UGC05918,C,8,3.93,46.0,5.0,mid_45_60,0.000000000,1.554287593,0.359090909,0.090353387,0.090353387,low_or_control_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,high,0.200000000,1.102937033
UGC06446,C,17,5.000000000000001,51.0,3.0,mid_45_60,0.000000000,1.102937033,0.577272727,0.162087165,0.162087165,medium_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,low,0.200000000,1.102937033
UGC06818,C,8,5.15625,75.0,3.0,edge_on_ge75,0.600000000,1.448678325,0.504545455,0.197344531,-0.197344531,medium_candidate,B,no_data,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,high,0.200000000,1.102937033
UGC06917,C,11,4.163636363636363,56.0,2.0,mid_45_60,0.000000000,1.072717880,0.290909091,0.052493396,0.052493396,low_or_control_candidate,B,no_data,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,low,0.200000000,1.102937033
UGC06973,C,9,5.688888888888889,71.0,3.0,inclined_60_75,0.440000000,1.429886353,0.500000000,0.155543868,-0.155543868,medium_candidate,B,no_data,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,high,0.200000000,1.102937033
UGC07323,C,10,3.87,47.0,3.0,mid_45_60,0.000000000,1.201359538,0.654545455,0.135135774,-0.135135774,medium_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,high,0.200000000,1.102937033
UGC07399,C,10,3.379,55.0,3.0,mid_45_60,0.000000000,1.154666808,0.845454545,0.394230355,0.394230355,high_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,high,0.200000000,1.102937033
UGC07577,C,9,3.17,63.0,3.0,inclined_60_75,0.120000000,1.190347046,0.936363636,0.634542779,-0.634542779,high_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,high,0.200000000,1.102937033
UGC07603,C,12,2.89,78.0,3.0,edge_on_ge75,0.720000000,1.024830938,0.395454545,0.118550725,0.118550725,low_or_control_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,low,0.200000000,1.102937033
UGC08490,C,30,3.6899999999999986,50.0,3.0,mid_45_60,0.000000000,0.850908707,0.754545455,0.184786180,0.184786180,high_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,low,0.200000000,1.102937033
UGC08837,C,8,2.53875,80.0,5.0,edge_on_ge75,0.800000000,1.421983599,0.950000000,0.397132098,-0.397132098,high_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,high,0.200000000,1.102937033
UGC12632,C,15,3.560666666666667,46.0,3.0,mid_45_60,0.000000000,1.005276134,0.231818182,0.048576173,0.048576173,low_or_control_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,low,0.200000000,1.102937033
