Predictor,ResidualMetric,NPoints,NGalaxies,Pearson,ExpectedDirection,InterpretationGuardrail
NormalizedLinewidthStress,AbsResidualProjection,200,5,0.009174283,positive_higher_stress_higher_residual,halogas_h07_lr_cube_readout_not_tau_specific_validation
NormalizedLinewidthStress,AbsResidualMONDSimple,200,5,0.024131108,positive_higher_stress_higher_residual,halogas_h07_lr_cube_readout_not_tau_specific_validation
NormalizedLinewidthStress,AbsResidualRAR,200,5,0.027471672,positive_higher_stress_higher_residual,halogas_h07_lr_cube_readout_not_tau_specific_validation
