GalaxyName,ClassAuditOnly,SPARC_RadiusKpc,SPARC_RadiusFraction,THINGS_RingIndex,THINGS_RingFractionCenter,RadiusFractionDelta,StressDispersion,StressVelocityAsymmetry,RankStressTHINGS,S_tau_things_frozen,GeometryMode,AbsResidualProjection,AbsResidualMONDSimple,AbsResidualRAR,ProjectionMinusMONDAbs,ProjectionMinusRARAbs
NGC2366,C,2.49,0.410891,4,0.375000000,0.035891000,1.007847800,0.899975575,0.621052632,0.378947368,things_global_pa_inclination_elliptical_annuli,0.100566582665,0.148428474563,0.147187757368,-0.0478618918985,-0.0466211747034
NGC2366,C,2.74,0.452145,5,0.458333333,0.006188333,1.045238084,1.186122411,0.915789474,0.084210526,things_global_pa_inclination_elliptical_annuli,0.0802062492427,0.13114105445,0.129970102051,-0.0509348052076,-0.0497638528083
NGC2366,C,2.97,0.490099,5,0.458333333,0.031765667,1.045238084,1.186122411,0.915789474,0.084210526,things_global_pa_inclination_elliptical_annuli,0.0959431652142,0.148392932415,0.147253986448,-0.0524497672006,-0.0513108212333
NGC2366,C,3.21,0.529703,6,0.541666667,0.011963667,0.879157004,1.107850802,0.831578947,0.168421053,things_global_pa_inclination_elliptical_annuli,0.109612123746,0.163734962914,0.162629711751,-0.0541228391685,-0.053017588005
NGC2366,C,3.44,0.567657,6,0.541666667,0.025990333,0.879157004,1.107850802,0.831578947,0.168421053,things_global_pa_inclination_elliptical_annuli,0.09469227493,0.150614089242,0.149543279919,-0.055921814312,-0.0548510049894
NGC2366,C,3.69,0.608911,7,0.625000000,0.016089000,0.707789386,1.023783115,0.736842105,0.263157895,things_global_pa_inclination_elliptical_annuli,0.0866291129963,0.145135977322,0.144111697774,-0.0585068643256,-0.0574825847777
NGC2366,C,3.92,0.646865,7,0.625000000,0.021865000,0.707789386,1.023783115,0.736842105,0.263157895,things_global_pa_inclination_elliptical_annuli,0.0860190706662,0.146810268608,0.145824467262,-0.0607911979414,-0.0598053965963
NGC2366,C,4.16,0.686469,8,0.708333333,0.021864333,0.562129470,0.846061189,0.600000000,0.400000000,things_global_pa_inclination_elliptical_annuli,0.0828452611147,0.14701583841,0.146082909753,-0.0641705772948,-0.0632376486382
NGC2366,C,4.4,0.726073,8,0.708333333,0.017739667,0.562129470,0.846061189,0.600000000,0.400000000,things_global_pa_inclination_elliptical_annuli,0.140312488742,0.207694019392,0.206807342931,-0.0673815306507,-0.066494854189
NGC2366,C,4.64,0.765677,9,0.791666667,0.025989667,0.293853298,0.741334195,0.505263158,0.494736842,things_global_pa_inclination_elliptical_annuli,0.142434280629,0.212819580872,0.211973056058,-0.0703853002434,-0.0695387754292
NGC2366,C,4.87,0.80363,9,0.791666667,0.011963333,0.293853298,0.741334195,0.505263158,0.494736842,things_global_pa_inclination_elliptical_annuli,0.16045281194,0.232326632195,0.231498987526,-0.0718738202557,-0.0710461755861
NGC2366,C,5.11,0.843234,10,0.875000000,0.031766000,0.004243961,1.089519124,0.810526316,0.189473684,things_global_pa_inclination_elliptical_annuli,0.196226651969,0.269933781055,0.269128529264,-0.0737071290861,-0.0729018772953
NGC2366,C,5.35,0.882838,10,0.875000000,0.007838000,0.004243961,1.089519124,0.810526316,0.189473684,things_global_pa_inclination_elliptical_annuli,0.241864831584,0.318544904064,0.317774083306,-0.0766800724799,-0.0759092517218
NGC2366,C,5.59,0.922442,11,0.958333333,0.035891333,0.000988615,0.000000000,0.031578947,0.968421053,things_global_pa_inclination_elliptical_annuli,0.21400918789,0.294424389202,0.293693817442,-0.0804152013114,-0.0796846295518
NGC2366,C,5.82,0.960396,11,0.958333333,0.002062667,0.000988615,0.000000000,0.031578947,0.968421053,things_global_pa_inclination_elliptical_annuli,0.231690269701,0.316599569918,0.315913470916,-0.0849093002163,-0.0842232012144
NGC2366,C,6.06,1,11,0.958333333,0.041666667,0.000988615,0.000000000,0.031578947,0.968421053,things_global_pa_inclination_elliptical_annuli,0.225630195549,0.314218447462,0.313565898596,-0.088588251913,-0.0879357030467
NGC2403,A,0.16,0.00766651,0,0.041666667,0.034000157,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0509349877759,0.0380741550989,0.0444700367402,0.0128608326769,0.00646495103569
NGC2403,A,0.26,0.0124581,0,0.041666667,0.029208567,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0560854593265,0.0411476842555,0.0495060404471,0.0149377750711,0.00657941887943
NGC2403,A,0.36,0.0172496,0,0.041666667,0.024417067,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0108162958581,0.00583569283975,0.00411929855819,0.00498060301835,0.00669699729991
NGC2403,A,0.46,0.0220412,0,0.041666667,0.019625467,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0279430423368,0.0104408560108,0.0213089012526,0.017502186326,0.00663414108421
NGC2403,A,0.56,0.0268328,0,0.041666667,0.014833867,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0737042873116,0.055963915405,0.0671144276227,0.0177403719065,0.00658985968883
NGC2403,A,0.66,0.0316243,0,0.041666667,0.010042367,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0860408232462,0.0685955337157,0.0793981754248,0.0174452895305,0.00664264782142
NGC2403,A,0.76,0.0364159,0,0.041666667,0.005250767,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.117559688501,0.100407433068,0.110884144167,0.0171522554332,0.00667554433396
NGC2403,A,0.86,0.0412075,0,0.041666667,0.000459167,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.119152514488,0.102450889227,0.112456003476,0.0167016252609,0.00669651101132
NGC2403,A,0.96,0.045999,0,0.041666667,0.004332333,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0825851825374,0.0662469640213,0.0758920551516,0.0163382185161,0.00669312738588
NGC2403,A,1.06,0.0507906,0,0.041666667,0.009123933,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0729855326707,0.0569188782263,0.0663041179014,0.0160666544444,0.00668141476927
NGC2403,A,1.16,0.0555822,0,0.041666667,0.013915533,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0624790814107,0.0466173253363,0.0558107305893,0.0158617560744,0.0066683508214
NGC2403,A,1.27,0.0608529,0,0.041666667,0.019186233,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0855225396255,0.0698202669883,0.0788664755377,0.0157022726371,0.00665606408773
NGC2403,A,1.36,0.0651653,0,0.041666667,0.023498633,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0852694594936,0.069539339349,0.0786111290837,0.0157301201446,0.00665833040984
NGC2403,A,1.47,0.070436,0,0.041666667,0.028769333,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0626669366236,0.0470348313139,0.0560167939754,0.0156321053097,0.00665014264818
NGC2403,A,1.57,0.0752276,0,0.041666667,0.033560933,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0632077832316,0.047592209483,0.0565590780219,0.0156155737486,0.00664870520972
NGC2403,A,1.67,0.0800192,0,0.041666667,0.038352533,1.776333300,0.364295855,0.936842105,0.063157895,things_global_pa_inclination_elliptical_annuli,0.0623570529028,0.0466868995678,0.0557036626112,0.015670153335,0.00665339029163
NGC2403,A,1.77,0.0848107,1,0.125000000,0.040189300,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0325067687522,0.0168207732664,0.0258520517734,0.0156859954858,0.00665471697881
NGC2403,A,1.87,0.0896023,1,0.125000000,0.035397700,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0275455156762,0.0119079080704,0.0208948981002,0.0156376076058,0.006650617576
NGC2403,A,1.97,0.0943939,1,0.125000000,0.030606100,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0249752869539,0.00939284085846,0.0183295088704,0.0155824460954,0.00664577808343
NGC2403,A,2.08,0.0996646,1,0.125000000,0.025335400,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0198972140825,0.00437086073851,0.0132565289562,0.015526353344,0.00664068512626
NGC2403,A,2.18,0.104456,1,0.125000000,0.020544000,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0116076612412,0.0271114749059,0.0182462534243,-0.0155038136648,-0.00663859218314
NGC2403,A,2.28,0.109248,1,0.125000000,0.015752000,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0232291108668,0.0385109176958,0.0298458258266,-0.015281806829,-0.0066167149598
NGC2403,A,2.37,0.11356,1,0.125000000,0.011440000,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0263760797633,0.0413261332202,0.0329568779485,-0.0149500534569,-0.00658079818517
NGC2403,A,2.47,0.118352,1,0.125000000,0.006648000,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0399374078359,0.0545373031829,0.0464783363053,-0.0145998953469,-0.00654092846932
NGC2403,A,2.57,0.123143,1,0.125000000,0.001857000,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0337554884008,0.0480437255692,0.0402616118734,-0.0142882371684,-0.00650612347266
NGC2403,A,2.68,0.128414,1,0.125000000,0.003414000,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0370606207365,0.0510123360716,0.0435329927319,-0.013951715335,-0.00647237199536
NGC2403,A,2.78,0.133206,1,0.125000000,0.008206000,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0403228315592,0.0540004421081,0.0467736003459,-0.0136776105489,-0.00645076878669
NGC2403,A,2.88,0.137997,1,0.125000000,0.012997000,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0345299378262,0.0479601503137,0.0409687709997,-0.0134302124875,-0.00643883317347
NGC2403,A,2.98,0.142789,1,0.125000000,0.017789000,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0297449441104,0.0429673969601,0.0361821442929,-0.0132224528497,-0.00643720018255
NGC2403,A,3.08,0.14758,1,0.125000000,0.022580000,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0159491134778,0.0290119316868,0.0223925453935,-0.013062818209,-0.00644343191566
NGC2403,A,3.19,0.152851,1,0.125000000,0.027851000,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0324834053174,0.0453921458616,0.038941532818,-0.0129087405442,-0.00645812750065
NGC2403,A,3.29,0.157643,1,0.125000000,0.032643000,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0409322582695,0.0537484178092,0.0474047435993,-0.0128161595397,-0.00647248532973
NGC2403,A,3.39,0.162434,1,0.125000000,0.037434000,1.520799264,0.405622210,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0304609967972,0.0432039597044,0.036948662429,-0.0127429629072,-0.0064876656318
NGC2403,A,3.49,0.167226,2,0.208333333,0.041107333,1.213723623,0.480108602,0.821052632,0.178947368,things_global_pa_inclination_elliptical_annuli,0.000835890824111,0.0135069829866,0.00734258808351,-0.0126710921625,-0.0065066972594
NGC2403,A,3.59,0.172017,2,0.208333333,0.036316333,1.213723623,0.480108602,0.821052632,0.178947368,things_global_pa_inclination_elliptical_annuli,0.0204865185833,0.00790131321613,0.0139501640036,0.0125852053672,0.00653635457969
NGC2403,A,3.69,0.176809,2,0.208333333,0.031524333,1.213723623,0.480108602,0.821052632,0.178947368,things_global_pa_inclination_elliptical_annuli,0.0303075553208,0.0177786942923,0.0237463885876,0.0125288610284,0.00656116673313
NGC2403,A,3.79,0.1816,2,0.208333333,0.026733333,1.213723623,0.480108602,0.821052632,0.178947368,things_global_pa_inclination_elliptical_annuli,0.0421535375933,0.0296946164118,0.0355534572097,0.0124589211815,0.00660008038366
NGC2403,A,3.9,0.186871,2,0.208333333,0.021462333,1.213723623,0.480108602,0.821052632,0.178947368,things_global_pa_inclination_elliptical_annuli,0.0722248784692,0.0598460220464,0.0655638389648,0.0123788564228,0.00666103950447
NGC2403,A,3.99,0.191184,2,0.208333333,0.017149333,1.213723623,0.480108602,0.821052632,0.178947368,things_global_pa_inclination_elliptical_annuli,0.0691821776942,0.0568598735866,0.0624603907063,0.0123223041076,0.00672178698796
NGC2403,A,4.47,0.214183,2,0.208333333,0.005849667,1.213723623,0.480108602,0.821052632,0.178947368,things_global_pa_inclination_elliptical_annuli,0.0526552108714,0.0404463643588,0.0455074193381,0.0122088465125,0.00714779153323
NGC2403,A,4.97,0.238141,2,0.208333333,0.029807667,1.213723623,0.480108602,0.821052632,0.178947368,things_global_pa_inclination_elliptical_annuli,0.0659144097365,0.0535100493733,0.0580626494889,0.0124043603632,0.00785176024758
NGC2403,A,5.47,0.262099,3,0.291666667,0.029567667,1.009764587,0.659848117,0.610526316,0.389473684,things_global_pa_inclination_elliptical_annuli,0.0825889841435,0.0696425345409,0.0737407383229,0.0129464496026,0.00884824582059
NGC2403,A,5.96,0.285577,3,0.291666667,0.006089667,1.009764587,0.659848117,0.610526316,0.389473684,things_global_pa_inclination_elliptical_annuli,0.0887490844924,0.0748450949247,0.0785190448151,0.0139039895677,0.0102300396773
NGC2403,A,6.46,0.309535,3,0.291666667,0.017868333,1.009764587,0.659848117,0.610526316,0.389473684,things_global_pa_inclination_elliptical_annuli,0.0964691953363,0.0812017895301,0.0844993977407,0.0152674058062,0.0119697975957
NGC2403,A,6.96,0.333493,4,0.375000000,0.041507000,1.004575189,0.922782516,0.642105263,0.357894737,things_global_pa_inclination_elliptical_annuli,0.0929375923151,0.0761705567269,0.0791782927493,0.0167670355883,0.0137592995658
NGC2403,A,7.45,0.356972,4,0.375000000,0.018028000,1.004575189,0.922782516,0.642105263,0.357894737,things_global_pa_inclination_elliptical_annuli,0.0895939302973,0.0711737448084,0.0739384846742,0.0184201854889,0.0156554456231
NGC2403,A,7.95,0.38093,4,0.375000000,0.005930000,1.004575189,0.922782516,0.642105263,0.357894737,things_global_pa_inclination_elliptical_annuli,0.0861013669204,0.0658583438805,0.0684104072861,0.0202430230399,0.0176909596342
NGC2403,A,8.45,0.404887,4,0.375000000,0.029887000,1.004575189,0.922782516,0.642105263,0.357894737,things_global_pa_inclination_elliptical_annuli,0.088364411115,0.066353298166,0.0687354069453,0.022011112949,0.0196290041697
